Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Pracownik produkcji"; "66-200 Chociule 36C, powiat: świebodziński, woj: lubuskie"; "Umowa o pracę na okres próbny"; """M-LINE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Pielęgniarka"; "Słoneczna 50, 66-200 Świebodzin, powiat: świebodziński, woj: lubuskie"; "Umowa o pracę w zastępstwie"; "Centrum Administracyjne do obsługi Placówek Opiekuńczo-Wychowawczych w Świebodzinie"; 30.12.2021; 
"Księgowy"; "Racławicka 7/33, 14-100 Ostróda, powiat: ostródzki, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "KANCELARIA FINANSOWA BID SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 30.12.2021; 
"PRACOWNIK PRODUKCJI "; "Gdyńska 28, 73-110 Stargard, powiat: stargardzki, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "BRANDDEX SP. Z O.O. STARGARD"; 30.12.2021; 
"Spawacz"; "33-332 Binczarowa 182, powiat: nowosądecki, woj: małopolskie"; "Umowa o pracę na okres próbny"; """Margobud"" Ogorzałek Marek"; 30.12.2021; 
"Magazynier R99/3719-1851/21"; "87-800 Włocławek, powiat: m. Włocławek, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "OPEN PARTNER MATUSIAK I WSPÓLNICY SPÓŁKA JAWNA"; 29.12.2021; 
"Kasjer- sprzedawca R100/3720-1852/21"; "OKRĘŻNA, 87-800 Włocławek, powiat: m. Włocławek, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "DINO POLSKA SPÓŁKA AKCYJNA"; 29.12.2021; 
"Robotnik magazynowy R101/3721-1853-21"; "PŁOCKA 89, 87-800 Włocławek, powiat: m. Włocławek, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "AL-SAMER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 30.12.2021; 
"Kierowca taksówki"; "41-940 Piekary Śląskie, powiat: m. Piekary Śląskie, woj: śląskie"; "Umowa o pracę na okres próbny"; "PROGRES RAFAŁ BARON"; 30.12.2021; 
"Malarz ,murarz,pomocniczy robotnik budowlany"; "64-212 Chobienice 165A, powiat: wolsztyński, woj: wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "Z.P.H.U. ""Mat-Bud"" Zakład Ogólnobudowlany Piotr Mickiewicz"; 30.12.2021; 
"Pracownik pomocniczy "; "Jana Lortza 70a, 41-940 Piekary Śląskie, powiat: m. Piekary Śląskie, woj: śląskie"; "Umowa o pracę na okres próbny"; "FIRMA ""CHEMPUR"" PIĄTEK MARCIN"; 30.12.2021; 
"Młodszy wychowawca"; "Plebiscytowa 46A/2, 40-041 Katowice, powiat: m. Katowice, woj: śląskie"; "Umowa o pracę w zastępstwie"; "PLACÓWKA OPIEKUŃCZO-WYCHOWAWCZA DOM 3"; 30.12.2021; 
"Młodszy wychowawca"; "Brynowska 70A/1, 40-584 Katowice, powiat: m. Katowice, woj: śląskie"; "Umowa o pracę w zastępstwie"; "PLACÓWKA OPIEKUŃCZO-WYCHOWAWCZA DOM 9"; 30.12.2021; 
"Florysta"; "Skarszewska 2, 83-400 Kościerzyna, powiat: kościerski, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "Dom EDEN Sp. z o.o. Szczecin"; 30.12.2021; 
"Fakturzystka"; "Poznańska 106, 66-300 Międzyrzecz, powiat: międzyrzecki, woj: lubuskie"; "Umowa o pracę na okres próbny"; """ZEMAR"" SP. Z O.O."; 30.12.2021; 
"PRACOWNIK PRODUKCJI - 1148"; "Strefowa 7, 58-160 Świebodzice, powiat: świdnicki, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; """ISOPAK POLAND"" Spółka z ograniczoną odpowiedzialnością"; 30.12.2021; 
"Stolarz meblowy"; "Morawica, powiat: kielecki, woj: świętokrzyskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 30.12.2021; 
"Lektor języka angielskiego"; "Rogozina 44, 44-310 Radlin, powiat: wodzisławski, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Fundacja Eduarte"; 30.12.2021; 
"Sprzątaczka "; "29-100 Konieczno 3a, powiat: włoszczowski, woj: świętokrzyskie"; "Umowa o pracę na czas określony"; "ELBET Zenon Matuszewski Mateusz Matuszewski spółka cywilna"; 29.12.2021; 
"Elektromonter instalacji elektrycznych"; "87-214 Bartoszewice 28, powiat: wąbrzeski, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Sano-Nowoczesne Żywienie Zwierząt Sp. z o.o. Sękowo"; 29.12.2021; 
"KIEROWCA- MAGAZYNIER-MONTAŻYSTA MEBLI - 1149"; "Spółdzielcza 14, 58-100 Świdnica, powiat: świdnicki, woj: dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "PRZEDSIĘBIORSTWO HANDLOWE ""INDEPENDENT"" MARIUSZ ŁESYK, KATARZYNA ŁESYK SPÓŁKA JAWNA"; 29.12.2021; 
"Krojczy"; "Narutowicza 25, 64-915 Jastrowie, powiat: złotowski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "TS.MEBLE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Opiekun/ka domowa"; "Misjonarska 22, 09-402 Płock, powiat: m. Płock, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Polski Komitet Pomocy Społecznej Zarząd Rejonowy w Płocku"; 29.12.2021; 
"Mechanik samochodów ciężarowych"; "Zientary Malewskiej 51/53, 10-950 Olsztyn, powiat: m. Olsztyn, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "USŁUGI TRANSPORTOWE MIR - TRANS Mirosław Staniszewski"; 29.12.2021; 
"Robotnik rozbiórki budowli"; "41-600 Świętochłowice, powiat: m. Świętochłowice, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ROZBIÓRKI-WYBURZENIA Dariusz Karbowiak"; 29.12.2021; 
"Kontroler jakości"; "Lubliniecka 74, 42-284 Herby, powiat: lubliniecki, woj: śląskie"; "Umowa o pracę na okres próbny"; "ALPHA TECHNOLOGY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 29.12.2021; 
"Specjalista do spraw administracyjno-ekonomicznych"; "Staszica 8, 87-720 Ciechocinek, powiat: aleksandrowski, woj: kujawsko-pomorskie"; "Umowa o pracę w zastępstwie"; "CENTRUM PROMOCJI ZDROWIA ""SANVIT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Kelner (I)"; "Tarnów, powiat: m. Tarnów, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"operator maszyn CNC"; "RZEMIEŚLNICZA 24, 22-600 Tomaszów Lubelski, powiat: tomaszowski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "RS ENGINEERING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"spawacz MIG/TIG"; "RZEMIEŚLNICZA 24, 22-600 Tomaszów Lubelski, powiat: tomaszowski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "RS ENGINEERING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Mechanik pojazdów samochodowych"; "Częstochowa, powiat: m. Częstochowa, woj: śląskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; 30.12.2021; 
"Monter instalacji i urządzeń sanitarnych"; "Częstochowa, powiat: m. Częstochowa, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 03.01.2022; 
"robotnik budowlany"; "Świdnik, powiat: świdnicki, woj: lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Zbieraczk pieczarek"; "Wyłazy, powiat: siedlecki, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 29.12.2021; 
"Pracownik fizyczny obsługi pieczarkarni"; "Wyłazy, powiat: siedlecki, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 29.12.2021; 
"Zbieracz pieczarek"; "Wyłazy, powiat: siedlecki, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 29.12.2021; 
"Pracownik fizyczny obsługi pieczarkarni"; "Wyłazy, powiat: siedlecki, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 29.12.2021; 
"Piekarz"; "Mostowa 2, 64-800 Chodzież, powiat: chodzieski, woj: wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "ZAKŁAD PIEKARNICZY ""SEZAM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"pracownik ochrony"; "Naramowicka 253, 61-611 Poznań, powiat: m. Poznań, woj: wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "BIURO OCHRONY RENOMA SPÓŁKA CYWILNA"; 29.12.2021; 
"Pomocnik Drukarza"; "Innowatorów 7, 62-070 Dąbrowa, powiat: poznański, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "PRESTON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"robotnik gospodarczy"; "Rabowice, powiat: poznański, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Sprzedawca-Kasjer"; "Przeźmierowo, powiat: poznański, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"BARMAN"; "00-000 Szczecin, powiat: m. Szczecin, woj: zachodniopomorskie"; "Umowa o pracę na czas określony"; "POSHE DRINKS Sp. z o.o."; 29.12.2021; 
"POZOSTALI ELEKTROMECHANICY I ELEKTROMONTERZY/ STANOWISKO: STARSZY MONTER / FITTER"; "Szczecin, powiat: m. Szczecin, woj: zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"POZOSTALI ELEKTROMECHANICY I ELEKTROMONTERZY/ STANOWISKO: MONTER PODZESPOŁÓW ELEKTRYCZNYCH / JUNIOR FITTER"; "Szczecin, powiat: m. Szczecin, woj: zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Elektromonter/elektryk rozdzielnic elektrycznych i automatyki"; "PRZEMYSŁOWA 6, 08-500 Ryki, powiat: rycki, woj: lubelskie"; "Umowa o pracę na okres próbny"; "JUWENT Szymański, Nowakowski Sp.j."; 29.12.2021; 
"Kierowca kat. C+E"; "09-500 Strzałki 51, powiat: gostyniński, woj: mazowieckie"; "Umowa o pracę na czas nieokreślony"; "OLEJNICZAK TRANSPORT Piotr Olejniczak"; 29.12.2021; 
"stylistka paznokci"; "Wieliczka, powiat: wielicki, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Pracownik produkcji w branży mięsnej"; "Chrzanów, powiat: chrzanowski, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Pomocnik piekarza"; "Lipie, powiat: tomaszowski, woj: łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; 29.12.2021; 
"pracownik utrzymania czystości kina"; "WARSZAWSKA, 97-200 Tomaszów Mazowiecki, powiat: tomaszowski, woj: łódzkie"; "Umowa o pracę na okres próbny"; "MOP ART sprzątanie i dezynfekcja Aleksandra Krogulska"; 29.12.2021; 
"Operator maszyn i urządzeń do przetwórstwa tworzyw sztucznych"; "63-505 Torzeniec 99a, powiat: ostrzeszowski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "PPHU ""WABNIC"" WABNIC PAWEŁ"; 29.12.2021; 
"Magazynier"; "63-505 Torzeniec 99a, powiat: ostrzeszowski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "PPHU ""WABNIC"" WABNIC PAWEŁ"; 29.12.2021; 
"pracownik biurowy "; "63-505 Torzeniec 99a, powiat: ostrzeszowski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "PPHU ""WABNIC"" WABNIC PAWEŁ"; 29.12.2021; 
"Ślusarz"; "Ludowa 70A, 68-200 Żary, powiat: żarski, woj: lubuskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD METALOWY STARYK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 29.12.2021; 
"Spawacz"; "Ludowa 70A, 68-200 Żary, powiat: żarski, woj: lubuskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD METALOWY STARYK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 29.12.2021; 
"Operator wycinarki laserowej"; "Ludowa 70A, 68-200 Żary, powiat: żarski, woj: lubuskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD METALOWY STARYK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 29.12.2021; 
"Operator robota spawalniczego"; "Ludowa 70A, 68-200 Żary, powiat: żarski, woj: lubuskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD METALOWY STARYK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 29.12.2021; 
"Kucharz"; "Zielonogórska 24, 68-200 Żary, powiat: żarski, woj: lubuskie"; "Umowa o pracę na okres próbny"; "P.H. OKIMEX Jan Okapiec"; 29.12.2021; 
"Szef kuchni"; "Zielonogórska 24, 68-200 Żary, powiat: żarski, woj: lubuskie"; "Umowa o pracę na okres próbny"; "P.H. OKIMEX Jan Okapiec"; 29.12.2021; 
"Wartownik oddziału wart cywilnych"; "68-132 Potok, powiat: żarski, woj: lubuskie"; "Umowa o pracę na okres próbny"; "4 Regionalna Baza Logistyczna Wrocław"; 29.12.2021; 
"specjalista do spraw kadrowo płacowych"; "Biała Podlaska, powiat: m. Biała Podlaska, woj: lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"inspektor ds. bhp"; "Celna 21, 21-540 Małaszewicze, powiat: bialski, woj: lubelskie"; "Umowa o pracę na czas określony"; """ADAMPOL"" SPÓŁKA AKCYJNA"; 28.12.2021; 
"Księgowy/księgowa"; "Gniezno, powiat: gnieźnieński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 29.12.2021; 
"Pracownik produkcyjny"; "Toruń, powiat: m. Toruń, woj: kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 29.12.2021; 
"Kasjer - sprzedawca"; "87-162 Lubicz Dolny, powiat: toruński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "DINO POLSKA SPÓŁKA AKCYJNA"; 29.12.2021; 
"konserwator urządzeń technicznych"; "Św. Józefa 53/59, 87-100 Toruń, powiat: m. Toruń, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "WOJEWÓDZKI SZPITAL ZESPOLONY IM. L. RYDYGIERA W TORUNIU"; 29.12.2021; 
"Robotnik gospodarczy"; "Piaseczno, powiat: piaseczyński, woj: mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 23.12.2021; 
"Magazynier"; "Magdalenka, powiat: piaseczyński, woj: mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 23.12.2021; 
"Kelner"; "Jeleńska 5, 43-600 Jaworzno, powiat: m. Jaworzno, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ENERGOMONTER, Karczma BOROWA CHATA Robert Możdżeń"; 29.12.2021; 
"Pizzerman "; "Jeleńska 5, 43-600 Jaworzno, powiat: m. Jaworzno, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ENERGOMONTER, Karczma BOROWA CHATA Robert Możdżeń"; 29.12.2021; 
"Magazynier"; "Poniatowa, powiat: opolski, woj: lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 14.12.2021; 
"Monter materacy"; "34-141 Przytkowice 1, powiat: wadowicki, woj: małopolskie"; "Umowa o pracę na okres próbny"; "Marek Makówka Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ""WEBTEX - 1"""; 28.12.2021; 
"Stolarz"; "Zacisze 8, 34-108 Przybradz, powiat: wadowicki, woj: małopolskie"; "Umowa o pracę na okres próbny"; "Łubik Piotr MEB-PIOTR"; 29.12.2021; 
"Referent w dziale księgowości"; "Stadionowa 11, 41-400 Mysłowice, powiat: m. Mysłowice, woj: śląskie"; "Umowa o pracę na okres próbny"; "Zakład Oczyszczania Miasta Sp. z o.o."; 29.12.2021; 
"AGRONOM"; "63-740 Kuklinów, powiat: krotoszyński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "AGRO INTEGRACJA SP. Z O.O."; 29.12.2021; 
"Palacz/ konserwator"; "Szczecińska 44, 75-137 Koszalin, powiat: m. Koszalin, woj: zachodniopomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "DREWEXIM Sp. z o.o."; 29.12.2021; 
"Kucharz"; "4 Marca 3, 75-901 Koszalin, powiat: m. Koszalin, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "17 Wojskowy Oddział Gospodarczy"; 29.12.2021; 
"Technik - Branża sanitarna"; "4 Marca 3, 75-901 Koszalin, powiat: m. Koszalin, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "17 Wojskowy Oddział Gospodarczy"; 29.12.2021; 
"Technik  branża budowlana "; "4 Marca 3, 75-901 Koszalin, powiat: m. Koszalin, woj: zachodniopomorskie"; "Umowa o pracę na czas określony"; "17 Wojskowy Oddział Gospodarczy"; 29.12.2021; 
"Inspektor Technicznego Utrzymania Nieruchomości - Branża Sanitarna"; "4 Marca 3, 75-901 Koszalin, powiat: m. Koszalin, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "17 Wojskowy Oddział Gospodarczy"; 29.12.2021; 
"Magazynier"; "4-Marca 3, 75-901 Koszalin, powiat: m. Koszalin, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "17 Wojskowy Oddział Gospodarczy"; 29.12.2021; 
"Sprzątaczka"; "Al. Zwycięstwa 14, 83-110 Tczew, powiat: tczewski, woj: pomorskie"; "Umowa o pracę na czas określony"; "CENTRO-TECH KAROL DYBOWSKI"; 29.12.2021; 
"Nauczyciel wspomagający (pedagog specjalny w zakresie edukacji i rewalidacji osób z autyzmem i zespołem aspergera - nauczyciel współorganizujący kształcenie)"; "Koniaków, powiat: cieszyński, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"zbieracz grzybów"; "Bedlno Radzyńskie 51, 21-300 Radzyń Podlaski, powiat: radzyński, woj: lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "MONTENEGRO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Sprzedawca"; "Wisznicka 67, 21-300 Radzyń Podlaski, powiat: radzyński, woj: lubelskie"; "Umowa o pracę na czas nieokreślony"; "Przedsiębiorstwo Handlowe JAROSZUK Spółka Jawna"; 29.12.2021; 
"Operator urządzeń uzdatniania wody"; "Jawor, powiat: jaworski, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Pozostali pracownicy obsługi biurowej"; "Łowicz, powiat: łowicki, woj: łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; 29.12.2021; 
"Sprzątaczka biurowa"; "Łowicz, powiat: łowicki, woj: łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; 28.12.2021; 
"Pozostali pracownicy obsługi biurowej"; "Łowicz, powiat: łowicki, woj: łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; 28.12.2021; 
"NAUCZYCIEL OLIGOFRENOPEDAGOG"; "GDYŃSKA 7A, 83-330 Żukowo, powiat: kartuski, woj: pomorskie"; "Umowa o pracę na czas określony"; "SPECJALNY OŚRODEK SZKOLNO - WYCHOWAWCZY IM. BISKUPA Z MIRY ŚWIĘTEGO MIKOŁAJA W ŻUKOWIE"; 28.12.2021; 
"specjalista ds płac i kadr"; "WSCHODNIA 2, 20-015 Lublin, powiat: m. Lublin, woj: lubelskie"; "Umowa o pracę na czas nieokreślony"; "Biuro Rachunkowo-Podatkowe Małgorzata Ziętek - Żerdzicka"; 29.12.2021; 
"Specjalista do spraw marketingu i handlu/ manager w dziedzinie handlu"; "21-008 Tomaszowice-Kolonia 38, powiat: lubelski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "Lalak Tadeusz - Dystrybucja Lavista"; 29.12.2021; 
"Instruktor higieny (zatrudnienie po stażu)"; "Lublin, powiat: m. Lublin, woj: lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; 29.12.2021; 
"księgowa"; "WSCHODNIA 2, 20-015 Lublin, powiat: m. Lublin, woj: lubelskie"; "Umowa o pracę na czas nieokreślony"; "Biuro Rachunkowo-Podatkowe Małgorzata Ziętek - Żerdzicka"; 29.12.2021; 
"konstruktor-projektant"; "CHMIELOWA 6, 21-002 Panieńszczyzna, powiat: lubelski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "Bartosz Juszczuk"; 29.12.2021; 
"prace manualne"; "CYPRIANA KAMILA NORWIDA 4/G.101-103, 80-280 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Koncepcja Sp. z o.o."; 29.12.2021; 
"Pracownik magazynowy/czynności magazynowe"; "Grunwaldzka 411, 80-309 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PROGRES ADVANCED SOLUTIONS Sp. z o.o."; 29.12.2021; 
"Pakowacz ręczny / Czynności pakowalnicze"; "TCZEWSKA 2, 83-000 Pruszcz Gdański, powiat: gdański, woj: pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Progres HR International Sp. z o.o."; 29.12.2021; 
"Czynności pomocnicze"; "Kwarcowa 3, 83-031 Cieplewo, powiat: gdański, woj: pomorskie"; "Nie dotyczy"; "Progres HR International Sp. z o.o."; 29.12.2021; 
"Specjalista ds. kadr"; "Grunwaldzka 56, 80-241 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas określony"; "Pomorska Wojewódzka Komenda OHP"; 29.12.2021; 
"Specjalista ds. kontroli"; "Grunwaldzka 56, 80-241 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas określony"; "Pomorska Wojewódzka Komenda OHP"; 29.12.2021; 
"Pracownik fizyczny/produkcyjny"; "Magnacka, 80-180 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "ACTIO HR Sp. z o.o."; 29.12.2021; 
"Monter instalacji sanitarnych/HVAC"; "Karuska 218, 80-122 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "Centrum Odnawialnych Źródeł Energii"; 29.12.2021; 
"Asystent projektanta instalacji sanitarnych/HVAC"; "Kartuska 218/4, 80-122 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "Centrum Odnawialnych Źródeł Energii"; 29.12.2021; 
"Monter mebli"; "FOSFOGIPSOWA 2, 83-011 Wiślinka, powiat: gdański, woj: pomorskie"; "Umowa o pracę na okres próbny"; "GALEON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 29.12.2021; 
"Stolarz"; "FOSFOGIPSOWA 2, 83-011 Wiślinka, powiat: gdański, woj: pomorskie"; "Umowa o pracę na okres próbny"; "GALEON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 29.12.2021; 
"Stolarz"; "Starogardzka 22, 83-010 Straszyn, powiat: gdański, woj: pomorskie"; "Umowa o pracę na okres próbny"; "GALEON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 29.12.2021; 
"Monter mebli"; "Starogardzka 22, 83-010 Straszyn, powiat: gdański, woj: pomorskie"; "Umowa o pracę na okres próbny"; "GALEON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 29.12.2021; 
"Elektryk"; "-, 44-100 Gliwice, powiat: m. Gliwice, woj: śląskie"; "Umowa o pracę na okres próbny"; "iMigo- Fotowoltaika Dariusz Konopka"; 29.12.2021; 
"Nauczyciel "; "Elsnera 25, 44-105 Gliwice, powiat: m. Gliwice, woj: śląskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 13"; 29.12.2021; 
"Starszy Księgowy"; "Zwycięstwa 1, 44-100 Gliwice, powiat: m. Gliwice, woj: śląskie"; "Umowa o pracę na czas określony"; "GLIWICKI OŚRODEK DZIAŁAŃ SPOŁECZNYCH"; 29.12.2021; 
"PRACOWNIK PRODUKCJI"; "Ełk, powiat: ełcki, woj: warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 29.12.2021; 
"Operator maszyn złożonych"; "Strefowa 6/8, 19-300 Ełk, powiat: ełcki, woj: warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "PORTA KMI POLAND SPÓŁKA AKCYJNA W BOLSZEWIE ODDZIAŁ W EŁKU"; 29.12.2021; 
"Referent księgowości"; "Lipowa 26, 08-300 Sokołów Podlaski, powiat: sokołowski, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "Nasiłowska Jolanta Biuro Rachunkowe ""FISKUS"""; 29.12.2021; 
"operator wózka widłowego"; "Grunwaldzka 87, 13-300 Nowe Miasto Lubawskie, powiat: nowomiejski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO DRZEWNE JAWOR ANTONI JAN GAWIŃSKI"; 29.12.2021; 
"Główny specjalista ds. analizy biznesowej"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"BLACHARZ SAMOCHODOWY"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; 29.12.2021; 
"kurier"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"pomocnik montera sieci wodnych i kanalizacyjnych"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Pracownik biurowy"; "Władysława Barbackiego 15, 33-300 Nowy Sącz, powiat: m. Nowy Sącz, woj: małopolskie"; "Umowa o pracę na okres próbny"; "KOMTECH PIOTR MARTUSZEWSKI"; 29.12.2021; 
"Specjalista ds fotowoltaiki"; "Władysława Barbackiego 15, 33-300 Nowy Sącz, powiat: m. Nowy Sącz, woj: małopolskie"; "Umowa o pracę na okres próbny"; "KOMTECH PIOTR MARTUSZEWSKI"; 29.12.2021; 
