Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"pomoc kuchenna"; "Stroma 16, 42-200 Częstochowa, powiat: m. Częstochowa, woj: śląskie"; "Umowa o pracę na czas określony"; "Caritas Archidiecezji Częstochowskiej"; 05.01.2022; 
"Główny księgowy"; "59-724 Tomisław 63, powiat: bolesławiecki, woj: dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa w Tomisławiu"; 05.01.2022; 
"Kasjer - kasjerka"; "10-go Marca 1, 59-700 Bolesławiec, powiat: bolesławiecki, woj: dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Golden Serwis Spółka z Ograniczoną Odpowiedzialnością"; 05.01.2022; 
"Pomoc cukiernika"; "Powstańców Chocieszyńskich 14A, 62-065 Grodzisk Wielkopolski, powiat: grodziski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "PIEKARNIA ""GWÓŹDŹ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 04.01.2022; 
"Mechanik samochodowy"; "ZALESICKA 29, 97-300 Piotrków Trybunalski, powiat: m. Piotrków Trybunalski, woj: łódzkie"; "Umowa o pracę na okres próbny"; "Piotr Majchrowski Consortrans"; 05.01.2022; 
"Pomocnik mechanika samochodowego"; "ZALESICKA 29, 97-300 Piotrków Trybunalski, powiat: m. Piotrków Trybunalski, woj: łódzkie"; "Umowa o pracę na okres próbny"; "Piotr Majchrowski Consortrans"; 05.01.2022; 
"Rejestratorka medyczna"; "Zawada, powiat: staszowski, woj: świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; 03.12.2021; 
"Asystent do spraw księgowości"; "Staszów, powiat: staszowski, woj: świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; 03.12.2021; 
"Pracownik produkcji/Monter konstrukcji stalowych -okrętowych"; "Obrońców Westerplatte 5A, 83-000 Pruszcz Gdański, powiat: gdański, woj: pomorskie"; "Umowa o pracę na okres próbny"; "HACO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"doradca klienta"; "UL.KRAKOWSKA 71, 34-120 Andrychów, powiat: wadowicki, woj: małopolskie"; "Umowa o pracę na czas określony"; "E&M Golian Elżbieta Jarguz-Golian Usługi Finansowe- AUTORYZOWANY PARTNER SANTANDER CONSUMER BANK"; 04.01.2022; 
"specjalista ds kadr i plac"; "ŻEROMSKIEGO 20, 99-320 Żychlin, powiat: pleszewski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "IZABELA KOWALSKA BIURO RACHUNKOWE ,,OD A DO Z,, EURO SERWIS AGENCJA UBEZPIECZENIOWA OD A DO Z I POŚREDNICTWO FINANSOWE OD A DO Z"; 03.01.2022; 
"Pracownik działu technicznego (S)"; "Tarnów, powiat: m. Tarnów, woj: małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; 15.12.2021; 
"Pakowacz ręczny"; "TELEWIZYJNA 19, 80-209 Chwaszczyno, powiat: kartuski, woj: pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "WORK PARTNER Oskar Witt Agencja Pracy"; 04.01.2022; 
"Magazynier"; "Miszewko, powiat: kartuski, woj: pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 04.01.2022; 
"POMOCNICZY ROBOTNIK BUDOWLANY"; "Mezowo, powiat: kartuski, woj: pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 04.01.2022; 
"pracownik administracyjno-biurowy"; "Sulechów, powiat: zielonogórski, woj: lubuskie"; "Nie dotyczy"; "kontakt przez PUP"; 31.12.2021; 
"pracownik administracyjno-biurowy"; "Zielona Góra, powiat: m. Zielona Góra, woj: lubuskie"; "Nie dotyczy"; "kontakt przez PUP"; 31.12.2021; 
"Pracownik działu mięso-wędliny"; "Dąbrówki 5, 65-001 Zielona Góra, powiat: m. Zielona Góra, woj: lubuskie"; "Umowa o pracę na czas określony"; """CARREFOUR POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Pracownik fizyczny (uzupełnienie)"; "Szubin, powiat: nakielski, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 02.03.2021; 
"Pomoc kuchenna - oferta stażu dla osoby bezrobotnej zarejestrowanej w PUP/Firma Produkcyjno Handlowo Usługowa ALREST Aleksandra Grzelak ul. Poznańska 218, 88-100 Inowrocław (nr 0026) "; "Inowrocław, powiat: inowrocławski, woj: kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; 05.01.2022; 
"kelner- oferta stażu dla osoby bezrobotnej zarejestrowanej w PUP/Firma Produkcyjno Handlowo Usługowa ALREST Aleksandra Grzelak ul. Poznańska 218, 88-100 Inowrocław (nr 0027) "; "Inowrocław, powiat: inowrocławski, woj: kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; 05.01.2022; 
"KUCHARZ"; "GÓRNOŚLĄSKA 39, 42-480 Poręba, powiat: zawierciański, woj: śląskie"; "Umowa o pracę na czas nieokreślony"; "DYRDA ANDRZEJ PHPU i G ""ADEX"" ZAJAZD ORION"; 05.01.2022; 
"Mechanik pojazdów samochodowych"; "Spacerowa 8, 42-400 Zawiercie, powiat: zawierciański, woj: śląskie"; "Umowa o pracę na czas nieokreślony"; "Dominik Ordowski Amber House"; 05.01.2022; 
"pracownik produkcji drzewnej"; "88-220 Pocierzyn 33, powiat: radziejowski, woj: kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "HAMAR A.M. Benedykcińscy Spółka Jawna"; 05.01.2022; 
"Pracownik socjalny"; "Gen. Tadeusza Kościuszki 5, 38-460 Jedlicze, powiat: krośnieński, woj: podkarpackie"; "Umowa o pracę na czas określony"; "Samorządowy Dom Pomocy Społecznej w Jedliczu"; 05.01.2022; 
"Sekretarz"; "43-190 Mikołów, powiat: mikołowski, woj: śląskie"; "Umowa o pracę na okres próbny"; "KANCELARIA NOTARIALNA SPÓŁKA CYWILNA NOTARIUSZE MACIEJ PIWOWARSKI I KATARZYNA STANEK"; 05.01.2022; 
"Nauczyciel przedszkola"; "Osiedle Władysława Jagiełły 5a, 32-800 Brzesko, powiat: brzeski, woj: małopolskie"; "Umowa o pracę na czas określony"; "Prywatne Przedszkole ""CYPISEK"" Spółka Cywilna Adam Peters-Musiał, Monika Peters-Musiał"; 05.01.2022; 
"Nauczyciel przedszkola"; "Osiedle Władysława Jagiełły 5a, 32-800 Brzesko, powiat: brzeski, woj: małopolskie"; "Umowa o pracę na czas określony"; "Prywatne Przedszkole ""CYPISEK"" Spółka Cywilna Adam Peters-Musiał, Monika Peters-Musiał"; 05.01.2022; 
"Krawcowa / Szwaczka"; "NIECAŁA 16/1, 20-080 Lublin, powiat: m. Lublin, woj: lubelskie"; "Umowa o pracę na czas nieokreślony"; "Europejskie Biuro Pracy Sp. z o.o."; 05.01.2022; 
"robotnik gospodarczy"; "23-114 Piotrków Pierwszy 214, powiat: lubelski, woj: lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ""MALINEX"" R. Malinowski"; 05.01.2022; 
"Doradca klienta ds. Kredytów"; "Jastków, powiat: lubelski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 05.01.2022; 
"Pozostali pracownicy obsługi biurowej"; "Bełżyce, powiat: lubelski, woj: lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Pracownik ochrony fizycznej"; "80-007 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "Umbrella Sp. z o.o."; 05.01.2022; 
"Doradca klienta - sektor dekoracje"; "Szczęśliwa, 80-176 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "Leroy Merlin Polska Sp. z o. o."; 05.01.2022; 
"Doradca klienta - sektor dekoracje"; "Grunwaldzka 309, 80-309 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "Leroy Merlin Polska Sp. z o. o."; 05.01.2022; 
"Doradca klienta - sektor glazura"; "Szczęśliwa, 80-176 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "Leroy Merlin Polska Sp. z o. o."; 05.01.2022; 
